,사업장명,주소,위도,경도
325,어몽앤디,서울 동대문구 안암로 104,37.5847679,127.0316376
326,브릭브릭,서울 성동구 마장로23길 6-12 지하1층,37.56686088,127.0324043
327,테일러독,서울 성북구 장위로 15,37.6135287,127.0386212
328,와와유통물류센터,서울 동대문구 왕산로33길 55,37.58190711,127.0416648
329,크럼페와앨리스,서울 강북구 숭인로 39 송천센트레빌 203동 102호,37.61275742,127.0266787
330,봉봉맘,서울 강북구 삼양로80나길 69 던킨빌리지 상가 1호,37.63407568,127.0208875
331,밸런스펫 수유시장점,서울 강북구 도봉로67길 18,37.63072891,127.0226681
332,비비안나,서울 강북구 솔매로 136,37.62637736,127.0271552
333,도기파크 미아점,서울 강북구 월계로7나길 8,37.61277164,127.033478
334,라니펫,서울 서대문구 남가좌동 277-2,37.53922553,126.991106
335,금쪽상회,서울 강북구 도봉로13가길 3,37.61466228,127.0293693
336,도기홀릭,서울 동대문구 약령시로 25 103동 303호,37.583147,127.0316997
337,와와유통,서울 동대문구 왕산로33길 66,37.58234827,127.0418328
