,번호,인증번호,농장명,농장소재지,인증품목,인증날짜,사육시설,사육규모(마리),자유방목
91,259,동물복지-15-04-1-7,벧엘농장,전라남도나주시,산란계,2020-08-06,"5동 3,368.2㎡",54500,X
92,258,동물복지-17-19-1-2,품안에 농원,경상남도거창군,산란계,2020-02-26,"2동 2,132.5㎡",15200,O
93,257,동물복지-12-10-1-4,벧엘농장,충청북도음성군,산란계,2020-02-26,"7동 3,064㎡",11484,X
94,256,동물복지-15-17-1-1,상하 새벽농장(2),전라남도함평군,산란계,2020-02-05,1동 544.21㎡,3600,X
95,255,동물복지-11-15-1-3,농원농산,강원도양구군,산란계,2020-02-11,"3동 2,104.6㎡",14500,X
96,254,동물복지-17-18-1-2,아늠달걀,경상남도함양군,산란계,2020-01-29,1동 720㎡,5000,O
97,253,동물복지-17-09-1-1,소원의 항구,경상남도거제시,산란계,2020-1-22,1동 89.87㎡,670,X
98,252,동물복지-14-13-3-1,유성농장,전라북도고창군,육계,2020-01-23,"3동 4,590㎡",79908,X
99,251,동물복지-15-17-3-3,제이토리농장,전라남도함평군,육계,2020-01-15,"6동 4,100.7㎡",76300,X
100,250,동물복지-13-09-6-3,다복목장,충청남도부여군,젖소,2020-01-09,"2동 3,646.11㎡",80,X
101,249,동물복지-10-21-1-5,늘푸른유정란,경기도용인시,산란계,2019-12-27,"7동 3,516.2㎡",29212,X
102,248,동물복지-15-04-1-5,지음농장,전라남도나주시,산란계,2019-12-26,3동 685㎡,3140,X
103,247,동물복지-10-31-1-1,준희농장,경기도김포시,산란계,2019-12-17,"2동 1,307.03㎡",7300,X
104,246,동물복지-13-01-6-2,대진목장,충청남도천안시,젖소,2020-06-08,"5동 2,095.67㎡",112,X
105,245,동물복지-14-08-3-10,마이산농장,전라북도진안군,육계,2019-11-29,"3동 4,529.34㎡",79000,X
106,244,동물복지-14-14-3-32,산지농장,전라북도부안군,육계,2019-11-21,"3동 3,528㎡",62148,X
107,243,동물복지-12-03-1-4,선한부자농장,충청북도제천시,산란계,2019-11-08,"4동 1,584㎡",8000,X
108,242,동물복지-14-04-3-11,청담농장,전라북도정읍시,육계,2019-11-05,"3동 3,985.8㎡",68577,X
109,241,동물복지-14-04-3-10,복도리농장,전라북도정읍시,육계,2019-10-31,"3동 3,671.25㎡",65148,X
110,240,동물복지-10-30-1-2,농업회사법인 선유팜㈜,경기도안성시,산란계,2020-06-22,"3동 4,044㎡",57912,X
111,239,동물복지-14-14-3-31,햇살농장,전라북도부안군,육계,2019-10-23,"2동 2,883.6㎡",49898,X
112,238,동물복지-13-01-6-1,평원목장,충청남도천안시,젖소,2019-10-17,"2동 2,183.3㎡",65,X
113,237,동물복지-14-14-3-30,현덕농장,전라북도부안군,육계,2019-10-14,"4동 5,292㎡",87832,X
114,236,동물복지-13-05-1-4,농업회사법인 한빛스마트팜,충청남도서산시,산란계,2019-10-14,"7동 6,905.85㎡",52440,X
115,235,동물복지-14-05-3-7,우림농장,전라북도남원시,육계,2019-10-07,"3동 4,074㎡",72101,X
116,234,동물복지-14-14-3-29,더불어참살이농장,전라북도부안군,육계,2019-10-07,"2동 2,845.8㎡",50106,X
117,233,동물복지-14-14-3-28,더불어참농장,전라북도부안군,육계,2019-10-07,"2동 2,752.8㎡",48402,X
118,232,동물복지-14-14-3-27,탑농장,전라북도부안군,육계,2019-10-07,"3동 4,464㎡",76590,X
119,231,동물복지-13-02-1-2,조우리,충청남도공주시,산란계,2019-10-01,"5동 1,750.03㎡",12900,X
120,230,동물복지-10-24-2-3,예성1농장,경기도화성시,돼지,2019-09-06,"9동 3,364.2㎡",3210,X
121,229,동물복지-10-24-2-2,예준농장,경기도화성시,돼지,2019-09-06,"9동 3,364.2㎡",3210,X
122,228,동물복지-10-24-2-1,지원농장,경기도화성시,돼지,2019-09-06,"6동 2,243.4㎡",2130,X
123,227,동물복지-14-04-3-9,안성농장,전라북도정읍시,육계,2019-09-06,"2동 2,641.8㎡",45583,X
124,226,동물복지-11-11-1-2,봉평농장,강원도평창군,산란계,2019-09-06,"4동 2,462㎡",17000,X
