,park,beauty,equip,food,hospital,manage,pharmacy,sell,dbscan_cluster
499,4,6,3,2,3,1,7,7,-1
500,4,6,2,2,3,1,6,7,-1
501,4,6,2,2,3,1,6,7,-1
502,4,6,2,2,3,1,5,7,-1
503,4,6,2,2,3,1,2,7,-1
504,3,0,1,0,0,0,0,4,-1
505,3,1,1,0,0,1,0,6,-1
506,3,1,1,0,0,1,0,6,-1
507,3,1,1,0,0,1,0,6,-1
508,3,1,1,0,0,1,0,6,-1
509,2,1,1,0,0,1,0,6,-1
510,2,1,1,0,0,1,0,4,-1
511,2,1,1,0,0,1,1,4,-1
512,3,1,1,0,0,1,1,5,-1
513,3,1,2,0,0,1,2,5,-1
514,3,1,2,0,0,1,2,5,-1
515,3,1,2,0,0,1,2,3,-1
516,3,2,1,0,1,2,2,5,4
517,3,2,1,0,1,2,2,5,4
518,3,2,1,0,1,2,2,5,4
519,3,2,1,0,1,2,2,5,4
520,3,2,1,0,2,2,2,7,4
521,4,2,1,0,2,2,2,7,4
522,4,2,1,0,2,2,2,7,4
523,4,2,1,0,2,2,2,7,4
524,4,2,1,0,2,2,2,6,4
525,4,2,1,0,2,2,2,6,4
526,4,3,1,0,2,3,2,6,4
527,4,3,1,1,2,3,2,6,2
528,4,3,1,2,2,3,2,6,2
529,4,3,1,2,2,3,2,6,2
530,5,3,1,2,2,3,2,6,2
531,5,3,1,2,2,3,2,7,2
532,5,3,2,2,2,3,2,7,2
533,5,3,2,2,2,3,2,7,2
534,4,2,2,3,2,2,4,7,-1
535,4,2,2,3,3,2,4,7,-1
536,4,1,2,3,3,1,6,5,-1
537,4,2,2,4,3,1,6,5,-1
538,4,2,2,4,3,1,6,5,-1
539,4,2,2,4,3,1,5,5,-1
540,4,2,2,4,2,1,6,3,-1
541,4,2,2,4,2,1,5,3,-1
542,4,1,1,3,1,0,5,1,6
543,4,1,1,3,1,0,5,1,6
544,4,1,3,3,1,0,5,1,6
545,4,1,3,3,1,0,5,1,6
546,4,1,3,3,1,0,5,1,6
547,4,1,3,3,1,0,5,1,6
548,4,3,3,3,2,0,5,3,-1
549,4,4,3,3,3,0,5,4,-1
550,4,4,3,3,3,0,5,4,-1
551,4,4,3,3,3,0,6,4,-1
552,4,5,3,2,3,0,6,5,-1
553,4,5,3,2,3,0,6,5,-1
554,4,6,3,2,3,1,6,7,-1
555,4,6,2,2,3,1,6,7,-1
556,4,6,2,2,3,1,6,7,-1
557,4,6,2,2,3,1,6,7,-1
558,4,6,2,2,3,1,6,7,-1
559,3,6,2,2,3,1,5,7,-1
560,3,0,1,0,0,0,0,4,-1
561,3,1,1,0,0,1,0,6,-1
562,3,1,1,0,0,1,0,6,-1
563,3,1,1,0,0,1,0,6,-1
564,2,1,1,0,0,1,0,4,-1
565,2,1,1,0,0,1,0,4,-1
566,2,2,1,0,1,1,0,5,4
567,3,2,1,0,1,1,1,5,4
568,3,2,1,0,1,1,1,5,4
569,3,2,1,0,1,1,1,5,4
570,3,2,1,0,1,1,2,3,4
571,3,1,1,0,0,1,2,2,4
572,3,1,1,0,0,1,2,2,4
573,3,2,1,0,1,2,2,4,4
574,3,2,1,0,1,2,2,4,4
575,3,2,1,0,1,2,2,4,4
576,3,2,1,0,1,2,2,4,4
577,3,2,1,0,1,2,2,4,4
578,3,2,1,0,2,2,2,6,4
579,4,2,1,0,2,2,2,6,4
580,4,2,1,0,2,2,2,6,4
581,4,2,1,0,2,2,2,6,4
582,4,2,1,0,2,2,2,6,4
583,4,2,1,0,2,2,2,6,4
584,4,2,1,1,2,2,2,6,4
